t,xdot,beta,history
8.58,0.0162807945489663,1.0,True
8.59,0.01625556241766246,1.0,True
8.6,0.016230514683308307,1.0,True
8.61,0.016205553590963373,1.0,True
8.620000000000001,0.01618054858696502,1.0,True
8.63,0.016155499435202118,1.0,True
8.64,0.01613072780272398,1.0,True
8.65,0.01610609675534585,1.0,True
8.66,0.01608147652032625,1.0,True
8.67,0.01605669736152794,1.0,True
8.68,0.016032049849266847,1.0,True
8.69,0.016007637435593657,1.0,True
8.700000000000001,0.015983239410152224,1.0,True
8.71,0.01595872609589783,1.0,True
8.72,0.01593440205299095,1.0,True
8.73,0.01591016192219167,1.0,True
8.74,0.015885874765781873,1.0,True
8.75,0.01586171222925595,1.0,True
8.76,0.015837671419460735,1.0,True
8.77,0.015813757438626164,1.0,True
8.78,0.01578974118597743,1.0,True
8.790000000000001,0.015765691057505894,1.0,True
8.8,0.015741983879808064,1.0,True
8.81,0.01571826977119549,1.0,True
8.82,0.01569446029561929,1.0,True
8.83,0.01567080074193116,1.0,True
8.84,0.015647371248801254,1.0,True
8.85,0.01562387396066789,1.0,True
8.86,0.015600366990945549,1.0,True
8.870000000000001,0.01557684446502629,1.0,True
8.88,0.015553514114704332,1.0,True
8.89,0.01553030325350607,1.0,True
8.9,0.015506919978683595,1.0,True
8.91,0.015483721741956207,1.0,True
8.92,0.015460581164727993,1.0,True
8.93,0.015437543166942524,1.0,True
8.94,0.0154145805421645,1.0,True
8.950000000000001,0.015391668092213437,1.0,True
8.96,0.015368805980741274,1.0,True
8.97,0.015345971793135118,1.0,True
8.98,0.015323115110573647,1.0,True
8.99,0.015300358039073392,1.0,True
9.0,0.015277671926044628,1.0,True
9.01,0.015255036603348019,1.0,True
9.02,0.015232497134505828,1.0,True
9.03,0.015209825982613173,1.0,True
9.040000000000001,0.015187310652121006,1.0,True
9.05,0.015165098260338634,1.0,True
9.06,0.015142765595335457,1.0,True
9.07,0.015120485641861551,1.0,True
9.08,0.01509838004371928,1.0,True
9.09,0.01507616873851876,1.0,True
9.1,0.015053866883092803,1.0,True
9.11,0.015031946601067535,1.0,True
9.120000000000001,0.015010110295896422,1.0,True
9.13,0.014988124893551934,1.0,True
9.14,0.01496625204817785,1.0,True
9.15,0.01494434198823452,1.0,True
9.16,0.014922612497186365,1.0,True
9.17,0.014900857731775121,1.0,True
9.18,0.014878927936017744,1.0,True
9.19,0.014857351805020262,1.0,True
9.200000000000001,0.014835660755357569,1.0,True
9.21,0.014814133465921886,1.0,True
9.22,0.014792671446397994,1.0,True
9.23,0.014771260326959645,1.0,True
9.24,0.014749705189927418,1.0,True
9.25,0.01472846014059491,1.0,True
9.26,0.014707264923475679,1.0,True
9.27,0.01468601416382778,1.0,True
9.28,0.014664687319457272,1.0,True
9.290000000000001,0.014643696827655107,1.0,True
9.3,0.014622908986826624,1.0,True
9.31,0.01460164860232684,1.0,True
9.32,0.014580770630629673,1.0,True
9.33,0.014559560301581514,1.0,True
9.34,0.014539122374144394,1.0,True
9.35,0.014518074902474658,1.0,True
9.36,0.014497346335014743,1.0,True
9.370000000000001,0.014476676781358288,1.0,True
9.38,0.014455879090156405,1.0,True
9.39,0.01443516425757023,1.0,True
9.4,0.014414477768519654,1.0,True
9.41,0.014394250984699099,1.0,True
9.42,0.014373678705159062,1.0,True
9.43,0.014353288098912242,1.0,True
9.44,0.014332771830083553,1.0,True
9.450000000000001,0.014312480232000425,1.0,True
9.46,0.01429210235885395,1.0,True
9.47,0.014271363547173458,1.0,True
9.48,0.014251489968355143,1.0,True
9.49,0.01423121328716675,1.0,True
9.5,0.014211338590980284,1.0,True
9.51,0.014191086989572216,1.0,True
9.52,0.014171071142814512,1.0,True
9.53,0.0141514374418045,1.0,True
9.540000000000001,0.014131645957705356,1.0,True
9.55,0.014111945924067866,1.0,True
9.56,0.014091966968784895,1.0,True
9.57,0.014072325732405442,1.0,True
9.58,0.01405222011341316,1.0,True
9.59,0.01403269586497674,1.0,True
9.6,0.014013153500757027,1.0,True
9.61,0.01399363189702721,1.0,True
9.620000000000001,0.013973879430574798,1.0,True
9.63,0.013954485465039069,1.0,True
9.64,0.013935087844750655,1.0,True
9.65,0.013915715806958853,1.0,True
9.66,0.013896073841956465,1.0,True
9.67,0.013876944391149308,1.0,True
9.68,0.013857547284934067,1.0,True
9.69,0.0138381155489804,1.0,True
9.700000000000001,0.013819111541413177,1.0,True
9.71,0.013799740882651906,1.0,True
9.72,0.013780838143913985,1.0,True
9.73,0.013762157660289865,1.0,True
