t,inertial,stokes_drag,history,velocity,R^2
1.135,0.0064667547459977,-0.019899757113833596,-0.004353029940957007,-0.6399622225710286,0.9229422287430148
1.14,0.003277818700706953,-0.019245792589932184,-0.002629295167359298,-0.655849259103269,0.9229422287430148
1.145,8.39741119806807e-05,-0.018565630964826423,-0.0008992701312600249,-0.6705789892509342,0.9229422287430148
1.15,-0.0031098608962688784,-0.01786030957210025,0.0008343838177795584,-0.6841295037824744,0.9229422287430148
1.155,-0.006298765456671395,-0.017130904921940308,0.0025689978612496614,-0.6964807238660733,0.9229422287430148
1.16,-0.0094778235386234,-0.016378531058402285,0.004301899818790754,-0.7076144307665932,0.9229422287430148
1.165,-0.012642131525318005,-0.015604337858195733,0.006030418263372686,-0.7175142926584646,0.9229422287430148
1.17,-0.015786805775892445,-0.0148095092735837,0.007751886638212816,-0.7261658885151823,0.9229422287430148
1.175,-0.018906990161039014,-0.013995261522080292,0.009463647369093471,-0.7335567290405887,0.9229422287430148
1.18,-0.021997863560459203,-0.013162841225716355,0.011163055965741618,-0.739676274611651,0.9229422287430148
1.185,-0.02505464731057779,-0.012313523502718426,0.012847485105937674,-0.7445159502071161,0.9229422287430148
1.19,-0.028072612591019234,-0.011448610014520322,0.014514328696050858,-0.7480691573010791,0.9229422287430148
1.195,-0.031047087738436216,-0.010569426971100943,0.016161005901730408,-0.750331282705146,0.9229422287430148
1.2,-0.03397346547637105,-0.009677323097703165,0.01778496514251512,-0.7512997043476335,0.9229422287430148
1.205,-0.03684721004996862,-0.008773667566049314,0.019383688044183434,-0.7509737939829453,0.9229422287430148
1.21,-0.03966386425449924,-0.007859847893229063,0.020954693342726573,-0.749354916828993,0.9229422287430148
1.215,-0.04241905634679358,-0.006937267811481254,0.022495540733889763,-0.7464464281352778,0.9229422287430148
1.22,-0.04510850682887983,-0.006007345112141595,0.024003834662314122,-0.7422536666889621,0.9229422287430148
1.225,-0.04772803509330429,-0.005071509467064838,0.02547722804440038,-0.7367839452709688,0.9229422287430148
1.23,-0.05027356591980973,-0.0041312002308719715,0.026913425919106095,-0.7300465380788468,0.9229422287430148
1.235,-0.05274113581328369,-0.0031878642273978743,0.028310189021002678,-0.7220526651377832,0.9229422287430148
1.24,-0.05512689917312613,-0.0022429535237452865,0.02966533727003392,-0.7128154737257892,0.9229422287430148
1.245,-0.057427134284428194,-0.0012979231953666058,0.030976753172535173,-0.7023500168436321,0.9229422287430148
1.25,-0.05963824912163613,-0.00035422908561624127,0.032242385128212606,-0.6906732287646566,0.9229422287430148
1.255,-0.06175678695565624,0.0005866744367786594,0.03346025063792228,-0.6778038977040952,0.9229422287430148
1.26,-0.06377943175564448,0.001523336718876694,0.03462843940723217,-0.6637626356518389,0.9229422287430148
1.265,-0.06570301337704647,0.0024543130598535926,0.03574511634091348,-0.6485718454170584,0.9229422287430148
1.27,-0.06752451252777815,0.0033781669390608904,0.03680852442367197,-0.6322556849372623,0.9229422287430148
1.275,-0.06924106550476351,0.004293472232377575,0.03781698748259611,-0.6148400289085485,0.9229422287430148
1.28,-0.07084996869340927,0.005198815413432516,0.0387689128269854,-0.5963524277979644,0.9229422287430148
1.285,-0.07234868282294661,0.0060927977363019956,0.03966279376140221,-0.5768220643028186,0.9229422287430148
1.29,-0.07373483697095169,0.006974037396313778,0.04049721196798845,-0.5562797073256569,0.9229422287430148
1.295,-0.07500623231072848,0.007841171665617024,0.04127083975428013,-0.5347576635374889,0.9229422287430148
1.3,-0.07616084559564036,0.008692859000219561,0.04198244216296436,-0.5122897266054351,0.9229422287430148
1.305,-0.07719683237487193,0.009527781115236252,0.04263087894022853,-0.48891112416448984,0.9229422287430148
1.31,-0.07811252993551877,0.010344645025135884,0.04321510635957094,-0.46465846261663263,0.9229422287430148
1.315,-0.07890645996631475,0.011142185045830852,0.04373417889815829,-0.439569669843705,0.9229422287430148
1.32,-0.07957733093873917,0.011919164755511203,0.04418725076304433,-0.41368393592361036,0.9229422287430148
1.325,-0.08012404020167722,0.012674378911183,0.0445735772647924,-0.38704165194253903,0.9229422287430148
1.33,-0.08054567578624328,0.013406655317942186,0.04489251603627629,-0.35968434699866664,0.9229422287430148
1.335,-0.0808415179178254,0.014114856648086167,0.04514352809467292,-0.3316546234954919,0.9229422287430148
1.34,-0.0810110402328576,0.014797882207238319,0.04532617874490036,-0.3029960908256767,0.9229422287430148
