t_u,u,t_w,w,history
3.5267531551928295,0.06318562346090449,2.288091028054706,-0.0959567439468103,True
3.604447190696903,0.062257406791359785,2.332526971524786,-0.09606102080696574,True
3.683853596406542,0.061329190121815085,2.3783453706054147,-0.09616529766712117,True
3.765010279723149,0.06040097345227038,2.425605771713308,-0.09626957452727661,True
3.847956023006779,0.05947275678272568,2.4743710150904814,-0.09637385138743204,True
3.9327305114114726,0.05854454011318097,2.5247074582842424,-0.09647812824758747,True
4.019374363170418,0.05761632344363627,2.5766852176580235,-0.09658240510774291,True
4.107929162778908,0.05668810677409157,2.6303784296248445,-0.09668668196789834,True
4.198437497617496,0.055759890104546864,2.6858655334767403,-0.09679095882805377,True
4.29094299867232,0.054831673435002164,2.743229577886983,-0.09689523568820921,True
4.385490386148799,0.05390345676545746,2.802558553390403,-0.09699951254836464,True
4.4821255209437885,0.05297524009591276,2.863945753403944,-0.09710378940852007,True
4.580895463146583,0.05204702342636805,2.927490166638765,-0.09720806626867551,True
4.681848538988209,0.05111880675682335,2.9932969040811326,-0.09731234312883094,True
4.785034417961129,0.05019059008727865,3.0614776640876578,-0.09741661998898637,True
4.890504202198877,0.04926237341773394,3.132151239556425,-0.09752089684914181,True
4.998310530651382,0.04833415674818924,3.205444071607397,-0.09762517370929726,True
5.108507701133727,0.047405940078644536,3.281490854740209,-0.09772945056945269,True
5.221151813984128,0.046477723409099836,3.360435199045653,-0.09783372742960812,True
5.3363009418663285,0.04554950673955513,3.442430355738863,-0.09793800428976356,True
5.45401533122223,0.04462129007001043,3.527640013071723,-0.09804228114991899,True
5.574357642059548,0.04369307340046573,3.616239170583366,-0.09814655801007442,True
5.697393234191062,0.04276485673092102,3.708415100679578,-0.09825083487022986,True
5.8231905097809085,0.04183664006137632,3.804368407715138,-0.09835511173038529,True
5.951821324165326,0.040908423391831615,3.90431419611262,-0.09845938859054072,True
6.083361479480103,0.039980206722286915,4.0084833606163555,-0.09856366545069616,True
6.217891318742192,0.03905199005274221,4.117124013585915,-0.09866794231085159,True
6.35549644181627,0.03812377338319751,4.230503066321109,-0.09877221917100702,True
6.496268569292043,0.0371955567136528,4.348907983829393,-0.09887649603116246,True
6.640306585878738,0.0362673400441081,4.472648735255747,-0.0989807728913179,True
6.787717801701172,0.0353391233745634,4.602059965464909,-0.09908504975147334,True
6.938619478113602,0.034410906705018694,4.737503417082077,-0.09918932661162877,True
7.093140674645521,0.033482690035473994,4.879370636760708,-0.0992936034717842,True
7.251424485836092,0.03255447336592929,5.028086004681873,-0.09939788033193964,True
7.413630751461652,0.03162625669638458,5.184110132444856,-0.09950215719209507,True
7.579939341571977,0.030698040026839887,5.347943681767746,-0.0996064340522505,True
7.750554139505018,0.02976982335729518,5.52013166500063,-0.09971071091240594,True
7.9257078724704755,0.028841606687750473,5.701268298634993,-0.09981498777256137,True
8.105667971381518,0.02791339001820578,5.892002493104885,-0.0999192646327168,True
8.290743680586784,0.026985173348661073,6.093044076630621,-0.10002354149287224,True
8.481294685488539,0.026056956679116366,6.305170868164081,-0.10012781835302767,True
8.677741583521398,0.02512874000957166,6.529236735290378,-0.1002320952131831,True
8.880578593787348,0.024200523340026966,6.766180798014863,-0.10033637207333854,True
9.090388985443296,0.02327230667048226,7.017037969709151,-0.10044064893349397,True
9.30786380793023,0.022344090000937553,7.2829510633540995,-0.1005449257936494,True
9.533824631221268,0.021415873331392846,7.565184736181022,-0.10064920265380485,True
9.769251156189448,0.020487656661848153,7.865141600882696,-0.10075347951396028,True
10.015314739712442,0.019559439992303446,8.184380899309373,-0.10085775637411572,True
10.273419103232348,0.01863122332275874,8.52464021827289,-0.10096203323427115,True
10.545249765666785,0.017703006653214046,8.887860831013558,-0.10106631009442658,True
10.832834072136766,0.01677478998366934,9.276217377556616,-0.10117058695458202,True
11.13861409146388,0.015846573314124632,9.692152759822818,-0.10127486381473745,True
11.465535143009019,0.014918356644579925,10.138419332444466,-0.10137914067489288,True
11.817153305654527,0.013990139975035232,10.618127730335924,-0.10148341753504832,True
12.197765981014808,0.013061923305490525,11.134805005910405,-0.10158769439520375,True
12.612570456552985,0.012133706635945818,11.692464174887744,-0.10169197125535918,True
13.067856475288915,0.011205489966401125,12.295687820287467,-0.10179624811551462,True
13.571240107412422,0.010277273296856418,12.949729120881965,-0.10190052497567006,True
14.13194778419792,0.009349056627311711,13.660634610076395,-0.1020048018358255,True
14.761161255461118,0.008420839957767004,14.43539421295643,-0.10210907869598093,True
15.472436540437045,0.007492623288222311,15.282125763860073,-0.10221335555613636,True
16.282212745876794,0.006564406618677604,16.210303431039065,-0.1023176324162918,True
17.210430030612272,0.005636189949132897,17.231042492958395,-0.10242190927644723,True
18.281280131872634,0.004707973279588204,18.357457046889728,-0.10252618613660266,True
19.524117891987068,0.0037797566100435,19.605112959654644,-0.1026304629967581,True
