t,x,z,xdot,zdot,x_crossings,z_crossings
2.96,0.1319593232867703,-0.4179017641226176,-0.5282773311620441,0.2863766608212527,,
2.965,0.12937879610707678,-0.41638715566701123,-0.5036711782043994,0.31913023839634147,,
2.97,0.12692609280917816,-0.41471258128518773,-0.4771684395937906,0.3503482666677006,,
2.975,0.12461045867784606,-0.41288599394222025,-0.44886500557699915,0.37992191780560985,,
2.98,0.12244064368376593,-0.4109158760110421,-0.4188630345390186,0.40774830290871567,,
2.985,0.12042487205745994,-0.40881120867131326,-0.38727058457092567,0.43373082987237666,,
2.99,0.11857081375729661,-0.40658143957566606,-0.3542012245499312,0.4577795384275523,,
2.995,0.11688555793054299,-0.4042364489004914,-0.31977362614082017,0.4798114112778907,,
3.0,0.11537558845917024,-0.40178651390302783,-0.2841111381869603,0.4997506601108457,,
3.005,0.11404676167467165,-0.3992422721137608,-0.24734134502861513,0.5175289857083575,,
3.0100000000000002,0.11290428631826711,-0.3966146832946324,-0.20959561033098967,0.533085811038247,,
3.015,0.1119527058148964,-0.393914990301674,-0.17100860806442875,0.5463684867430852,,
3.02,0.11119588292100928,-0.39115467899041534,-0.13171784231175335,0.557332468165965,,
3.025,0.1106369867977616,-0.38834543730911575,-0.09186315762572897,0.565941463503884,,
3.0300000000000002,0.11027848255245916,-0.3854991137242619,-0.05158624167876321,0.572167552398604,,
3.035,0.11012212328239306,-0.3826276751284554,-0.01103012198440432,0.5759912748062366,,
3.04,0.11016894464618067,-0.3797431643785866,0.02966134152464164,0.577401689721362,,
3.045,0.1104192619788571,-0.3768576576166347,0.07034396625369366,0.576396403662969,,
3.0500000000000003,0.1108726699578232,-0.37398322152382735,0.11087375723460093,0.5729815688791343,,
3.055,0.11152804481780651,-0.37113187065956926,0.1511074161354126,0.5671718512838496,,
3.06,0.11238354910390207,-0.36831552503632875,0.19090284719414988,0.5589903683704829,,
3.065,0.11343663894284867,-0.36554596807950573,0.23011965829026015,0.5484685972282539,,
3.0700000000000003,0.11468407380378477,-0.36283480512169686,0.26861965538848515,0.5356462532716979,,
3.075,0.11612192871097717,-0.3601934225752596,0.3062673286180151,0.5205711398569889,,
3.08,0.11774560886241461,-0.3576329479292159,0.3429303282788928,0.5032989697344608,,
3.085,0.11954986659969324,-0.35516421070732457,0.3784799291111622,0.48389315860821136,,
3.09,0.12152882066643679,-0.35279770452752357,0.41279148120109777,0.4624245919718992,,
3.095,0.12367597768445392,-0.3505435503915675,0.4457448459533663,0.43897136577157353,,
3.1,0.12598425576914796,-0.34841146133563544,0.4772248156109947,0.41361850210606643,,
