t,light,neutral,heavy
5.875,0.011491470271426628,0.0337984419747842,0.1239276205742087
5.88,0.011476815900239766,0.033755340883058135,0.12376958323787979
5.885,0.011462192648971452,0.03371233132050427,0.12361188150851563
5.89,0.011447600425179755,0.03366941301523457,0.12345451438919339
5.8950000000000005,0.011433039136775507,0.03362658569639855,0.12329748088679464
5.9,0.011418508692020648,0.03358384909417838,0.12314078001198735
5.905,0.01140400899952661,0.033541202939784145,0.12298441077920849
5.91,0.011389539968252656,0.033498646965448985,0.12282837220664625
5.915,0.011375101507504301,0.03345618090442441,0.12267266331622281
5.92,0.01136069352693168,0.03341380449097553,0.1225172831335769
5.925,0.011346315936527959,0.03337151746037635,0.12236223068804658
5.93,0.011331968646627739,0.03332931954890511,0.12220750501265204
5.9350000000000005,0.011317651567905483,0.033287210493839654,0.12205310514407869
5.94,0.011303364611373929,0.033245190033452734,0.12189903012265997
5.945,0.011289107688382545,0.03320325790700748,0.12174527899236073
5.95,0.011274880710615946,0.03316141385475278,0.12159185080076017
5.955,0.01126068359009238,0.03311965761791876,0.12143874459903543
5.96,0.011246516239162155,0.03307798893871222,0.12128595944194477
5.965,0.011232378570506137,0.03303640756031216,0.12113349438781124
5.97,0.011218270497134203,0.0329949132268653,0.12098134849850607
5.9750000000000005,0.011204191932383747,0.03295350568348161,0.12082952083943253
5.98,0.011190142789918178,0.03291218467622994,0.12067801047950973
5.985,0.011176122983725384,0.03287094995213348,0.12052681649115607
5.99,0.011162132428116292,0.03282980125916557,0.12037593795027371
5.995,0.011148171037723354,0.03278873834624516,0.12022537393623223
6.0,0.011134238727499086,0.03274776096323261,0.12007512353185286
6.005,0.011120335412714597,0.03270686886092529,0.11992518582339268
6.01,0.011106461008958145,0.032666061791053365,0.11977555990052896
6.015000000000001,0.011092615432133654,0.03262533950627545,0.11962624485634328
6.0200000000000005,0.011078798598459325,0.032584701760174486,0.11947723978730641
6.025,0.011065010424466155,0.0325441483072534,0.11932854379326242
6.03,0.011051250826996527,0.03250367890293096,0.1191801559774135
6.035,0.011037519723202795,0.03246329330353764,0.11903207544630463
6.04,0.011023817030545878,0.03242299126631141,0.11888430130980845
6.045,0.011010142666793836,0.03238277254939364,0.11873683268110996
6.05,0.010996496550020496,0.032342636911824985,0.11858966867669159
6.055,0.010982878598604048,0.03230258411354132,0.11844280841631814
6.0600000000000005,0.010969288731225678,0.032262613915369644,0.11829625102302199
6.065,0.010955726866868186,0.03222272607902407,0.11814999562308823
6.07,0.010942192924814612,0.0321829203671018,0.1180040413460399
6.075,0.010928686824646898,0.03214319654307911,0.11785838732462338
6.08,0.010915208486244518,0.03210355437130741,0.11771303269479379
6.085,0.01090175782978314,0.032063993617009234,0.1175679765957005
6.09,0.010888334775733291,0.032024514046274384,0.11742321816967272
6.095,0.010874939244859026,0.03198511542605596,0.11727875656220516
6.1000000000000005,0.0108615711582166,0.031945797524166465,0.11713459092194368
6.105,0.01084823043715316,0.031906560109274,0.11699072040067128
6.11,0.010834917003305427,0.031867402950898314,0.11684714415329378
6.115,0.010821630778598405,0.031828325819407075,0.1167038613378259
6.12,0.01080837168524407,0.03178932848601197,0.1165608711153772
