t,e_abs,e_rel,order
35.800000000000004,0.004664168673906931,0.001358370567959864,2
35.81,0.0046670750505456455,0.001358750628226859,2
35.82,0.004669982872754072,0.0013591306912323217,2
35.83,0.0046728921411850885,0.0013595107569457194,2
35.84,0.004675802856445691,0.001359890825322846,2
35.85,0.00467871501928753,0.0013602708963612483,2
35.86,0.0046816286303188225,0.0013606509700164254,2
35.87,0.004684543690194531,0.0013610310462571589,2
35.88,0.0046874601995214125,0.0013614111250379167,2
35.89,0.004690378159054354,0.0013617912063558818,2
35.9,0.004693297569401192,0.0013621712901652101,2
35.910000000000004,0.004696218431193898,0.0013625513764267772,2
35.92,0.004699140745139076,0.0013629314651228113,2
35.93,0.004702064511847395,0.0013633115562074096,2
35.94,0.004704989732023369,0.0013636916496615919,2
35.95,0.0047079164062783585,0.0013640717454390802,2
35.96,0.004710844535320441,0.001364451843521339,2
35.97,0.004713774119782409,0.001364831943867731,2
35.980000000000004,0.004716705160275631,0.0013652120464311482,2
35.99,0.004719637657559433,0.0013655921512070353,2
36.0,0.004722571612242785,0.0013659722581470322,2
36.01,0.004725507024987346,0.001366352367217765,2
36.02,0.004728443896429562,0.0013667324783783027,2
36.03,0.004731382227255863,0.0013671125916019063,2
36.04,0.004734322018150786,0.0013674927068610175,2
36.05,0.004737263269752204,0.0013678728241143395,2
36.06,0.004740205982698504,0.00136825294332048,2
36.07,0.004743150157676514,0.0013686330644517833,2
36.08,0.004746095795375089,0.0013690131874809267,2
36.09,0.004749042896404793,0.0013693933123577555,2
36.1,0.0047519914614819825,0.0013697734390623962,2
36.11,0.004754941491243127,0.0013701535675516956,2
36.12,0.004757892986330557,0.0013705336977839714,2
36.13,0.004760845947432136,0.0013709138297304329,2
36.14,0.004763800375237849,0.0013712939633626674,2
36.15,0.004766756270387291,0.0013716740986375294,2
36.16,0.004769713633547192,0.0013720542355194754,2
36.17,0.004772672465334521,0.0013724343739584374,2
36.18,0.004775632766513209,0.001372814513946404,2
36.19,0.0047785945377006225,0.001373194655433002,2
36.2,0.004781557779539376,0.001373574798374928,2
36.21,0.004784522492746001,0.0013739549427499176,2
36.22,0.004787488677939077,0.0013743350885073722,2
36.23,0.004790456335834705,0.0013747152356245087,2
36.24,0.004793425467052501,0.0013750953840506572,2
36.25,0.004796396072312954,0.0013754755337639134,2
36.26,0.004799368152230165,0.0013758556847116722,2
36.27,0.004802341707503399,0.0013762358368655816,2
36.28,0.004805316738822259,0.0013766159901943372,2
36.29,0.004808293246836766,0.001376996144655122,2
36.3,0.004811271232212643,0.001377376300209459,2
36.31,0.004814250695574438,0.001377756456806926,2
36.32,0.004817231637690597,0.0013781366144381317,2
36.33,0.004820214059182732,0.0013785167730514987,2
36.34,0.0048231979606977796,0.0013788969326025595,2
36.35,0.004826183342957444,0.0013792770930680799,2
36.36,0.004829170206583886,0.0013796572543962233,2
36.37,0.004832158552300415,0.0013800374165639233,2
36.38,0.0048351483807275025,0.001380417579518598,2
36.39,0.00483813969259061,0.0013807977432375217,2
36.4,0.004841132488513226,0.0013811779076687253,2
36.41,0.004844126769218543,0.0013815580727885744,2
36.42,0.004847122535330562,0.0013819382385450143,2
36.43,0.004850119787572679,0.0013823184049142248,2
36.44,0.004853118526596209,0.0013826985718517165,2
36.45,0.004856118753026897,0.0013830787393056183,2
36.46,0.00485912046763751,0.0013834589072658347,2
36.47,0.004862123671056757,0.0013838390756811313,2
36.48,0.004865128363957924,0.0013842192445128753,2
36.49,0.004868134546992656,0.0013845994137161896,2
36.5,0.004871142220864694,0.0013849795832609297,2
36.51,0.004874151386274693,0.0013853597531159774,2
36.52,0.004877162043850005,0.001385739923229296,2
36.53,0.004880174194318022,0.0013861200935772063,2
36.54,0.00488318783833182,0.0013865002641148347,2
36.55,0.004886202976544362,0.0013868804347972124,2
36.56,0.00488921960965906,0.0013872606055936327,2
36.57,0.004892237738381274,0.0013876407764738664,2
36.58,0.004895257363364391,0.0013880209473928781,2
36.59,0.004898278485237173,0.0013884011182986092,2
36.6,0.004901301104779088,0.0013887812891816699,2
36.61,0.004904325222621526,0.0013891614599906433,2
36.62,0.00490735083944458,0.001389541630687874,2
36.63,0.004910377955902933,0.001389921801228477,2
36.64,0.004913406572704203,0.001390301971582519,2
36.65,0.004916436690553301,0.0013906821417192555,2
36.66,0.004919468310108854,0.0013910623115948205,2
36.67,0.004922501432023819,0.0013914424811637227,2
