t,H_x,H_z,history_x,history_z,delta_t
3.4,0.0244624746586626,-0.1801406253010959,0.11462445382521391,0.03516085262540791,0.01
3.41,0.025607611884082362,-0.17978346674527054,0.11439741493671796,0.036269957952688614,0.01
3.42,0.026750422957396963,-0.1794152261420421,0.11415923144824736,0.03737720774576303,0.01
3.43,0.02789079651304731,-0.17903592259035525,0.11390991996503885,0.03848249334445697,0.01
3.44,0.029028621356697742,-0.17864557627515296,0.11364949813012015,0.039585706214561256,0.01
3.45,0.03016378647564971,-0.178244208466064,0.11337798463766013,0.04068673795804223,0.01
3.46,0.03129618104945094,-0.17783184151599213,0.11309539921757183,0.041785480323168755,0.01
3.47,0.032425694460001146,-0.1774084988596006,0.11280176264958297,0.04288182521482753,0.01
3.48,0.03355221630244261,-0.17697420501169558,0.11249709675345354,0.043975664704811734,0.01
3.49,0.034675636395070215,-0.17652898556550436,0.11218142437747369,0.04506689104191075,0.01
3.5,0.035795844789992086,-0.17607286719085735,0.1118547694185299,0.04615539666209578,0.01
3.5100000000000002,0.036912731783440816,-0.17560587763226246,0.11151715680743424,0.04724107419878543,0.01
3.52,0.03802618792614077,-0.17512804570688165,0.11116861251511878,0.04832381649310591,0.01
3.5300000000000002,0.039136104033743194,-0.17463940130240033,0.11080916354073578,0.049403516603875985,0.01
3.54,0.04024237119695549,-0.17413997537480416,0.11043883791446363,0.05048006781780323,0.01
3.5500000000000003,0.04134488079203247,-0.17362979994604427,0.11005766470885758,0.05155336365980645,0.01
3.56,0.042443524491132645,-0.17310890810160803,0.10966567401389593,0.0526232979029011,0.01
3.5700000000000003,0.043538194272310385,-0.17257733398798625,0.10926289694919245,0.053689764578457755,0.01
3.58,0.04462878243011649,-0.17203511281003886,0.10884936566085113,0.05475265798629003,0.01
3.59,0.045715181585527356,-0.17148228082826047,0.1084251133099503,0.05581187270458621,0.01
3.6,0.0467972846963155,-0.1709188753559471,0.10799017409032619,0.056867303600123265,0.01
3.61,0.04787498506733388,-0.170344934756258,0.10754458320710691,0.05791884583827489,0.01
3.62,0.04894817636045764,-0.1697604984391816,0.10708837687730144,0.05896639489299993,0.01
3.63,0.05001675260487991,-0.169165606858398,0.10662159234310664,0.0600098465568113,0.01
3.64,0.05108060820731977,-0.16856030150804535,0.10614426784609732,0.06104909695079819,0.01
3.65,0.05213963796180186,-0.167944624919382,0.1056564426321378,0.06208404253457722,0.01
3.66,0.05319373705996253,-0.16731862065735378,0.10515815695784081,0.0631145801160855,0.01
3.67,0.05424280110095868,-0.16668233331706026,0.10464945208459087,0.06414060686167211,0.01
3.68,0.05528672610165436,-0.16603580852012031,0.10413037026829253,0.06516202030585028,0.01
3.69,0.05632540850632453,-0.16537909291094324,0.1036009547628911,0.06617871836115441,0.01
3.7,0.057358745196912184,-0.16471223415289726,0.10306124981193543,0.067190599327974,0.01
3.71,0.05838663350256325,-0.16403528092438374,0.10251130064188141,0.06819756190436976,0.01
3.72,0.05940897120974981,-0.16334828291480988,0.10195115347569939,0.06919950519572104,0.01
3.73,0.060425656572077234,-0.16265129082046934,0.10138085551286968,0.07019632872454373,0.01
3.74,0.06143658832000721,-0.161944356340319,0.10080045492852774,0.0711879324401874,0.01
3.75,0.06244166567064778,-0.1612275321716656,0.10021000087763321,0.0721742167283832,0.01
3.7600000000000002,0.06344078833755988,-0.16050087200575133,0.09960954348297202,0.07315508242102364,0.01
3.77,0.06443385654030721,-0.15976443052324513,0.09899913383498449,0.07413043080565185,0.01
3.7800000000000002,0.06542077101425957,-0.15901826338963831,0.0983788239861525,0.07510016363501659,0.01
3.79,0.06640143302003026,-0.1582624272505448,0.09774866694087292,0.07606418313662378,0.01
3.8000000000000003,0.06737574435307703,-0.15749697972690585,0.09710871666517829,0.0770223920221742,0.01
3.81,0.06834360735333384,-0.1567219794101013,0.09645902808112572,0.07797469349707331,0.01
3.8200000000000003,0.06930492491469954,-0.15593748585696438,0.0957996570463866,0.07892099126974284,0.01
3.83,0.07025960049426157,-0.15514355958470644,0.095130660357031,0.07986118956103017,0.01
3.84,0.07120753812184012,-0.1543402620657438,0.09445209575129798,0.08079519311352268,0.01
3.85,0.07214864240928753,-0.15352765572243599,0.09376402190326161,0.08172290720085407,0.01
3.86,0.07308281855990535,-0.15270580392172672,0.09306649840722114,0.08264423763684992,0.01
3.87,0.07400997237743195,-0.15187477096969898,0.09235958577676584,0.08355909078472123,0.01
3.88,0.07493001027544068,-0.1510346221060323,0.09164334545156327,0.08446737356638678,0.01
3.89,0.07584283928646322,-0.15018542349837125,0.09091783977724299,0.08536899347131754,0.01
3.9,0.07674836707098553,-0.14932724223660596,0.09018313200913264,0.0862638585657578,0.01
3.91,0.07764650192664588,-0.1484601463270561,0.08943928630833975,0.08715187750169662,0.01
3.92,0.07853715279715233,-0.14758420468657202,0.08868636771930438,0.08803295952571588,0.01
3.93,0.07942022928103197,-0.14669948713654177,0.08792444218169271,0.08890701448804172,0.01
3.94,0.08029564164078619,-0.14580606439681118,0.0871535765320286,0.0897739528513366,0.01
3.95,0.08116330081167254,-0.14490400807951503,0.08637383847898938,0.09063368569944963,0.01
3.96,0.082023118410366,-0.1439933906828222,0.08558529660129999,0.09148612474622198,0.01
3.97,0.08287500674369855,-0.1430742855845906,0.08478802035048982,0.09233118234424875,0.01
