t,x,z,v_x,v_z,u_x,u_z,w_x,w_z,H_x,H_z,H'_x,H'_z
5.95,1.0847937844305164,-0.5809069321907496,0.6016602737625527,1.034498651416456,0.5809069321907496,1.0847937844305164,0.020753341571803086,-0.05029513301406041,0.0419048551178721,0.07460061178186735,-0.11813576511626067,0.05781007041060038
5.96,1.0907610975989128,-0.5705311376269253,0.5917925129132574,1.0406441606017616,0.5705311376269253,1.0907610975989128,0.021261375286332096,-0.05011693699715125,0.04072067628214857,0.07517303121707769,-0.1186946132456741,0.05667091680362413
5.97,1.0966294193948587,-0.5600943573982372,0.5818621527003267,1.0466956839877726,0.5600943573982372,1.0966294193948587,0.0217677953020895,-0.04993373540708612,0.03953096285295867,0.0757340301179398,-0.11924265384939647,0.055526014989593975
5.98,1.1023981282901154,-0.5495975345489265,0.5718700872249841,1.052652585785043,0.5495975345489265,1.1023981282901154,0.022272552676057655,-0.04974554250507235,0.03833582320516058,0.07628355151686958,-0.11977982757166283,0.0543754681713744
5.99,1.1080666117297284,-0.5390416184387095,0.5618172170262397,1.058514238698302,0.5390416184387095,1.1080666117297284,0.0227755985875302,-0.049552373031426455,0.03713536630152536,0.07682153948136733,-0.12030607603418386,0.053219380158917584
6.0,1.1136342661959828,-0.5284275646575102,0.5517044490020214,1.0642800239914967,0.5284275646575102,1.1136342661959828,0.02327688434451125,-0.04935424220448614,0.035929701684476956,0.0773479391200479,-0.12082134182831439,0.05205785536005658
6.01,1.1191004972716092,-0.5177563349395462,0.5415326963266947,1.0699493315520587,0.5177563349395462,1.1191004972716092,0.023776361387148448,-0.04915116571955047,0.034718939464959124,0.07786269658856844,-0.12132556859110188,0.050890998770730445
6.0200000000000005,1.1244647197021198,-0.5070288970767755,0.5313028783694781,1.0755215599544108,0.5070288970767755,1.1244647197021198,0.02427398129270264,-0.04894315974770902,0.033503190312654856,0.07836575909546253,-0.12181870094019298,0.04971891596567524
6.03,1.129726357457354,-0.4962462248317121,0.5210159206121552,1.0809961165226911,0.4962462248317121,1.129726357457354,0.02476969578044308,-0.04873024093466283,0.032282565446155216,0.07885707490788198,-0.12230068447820353,0.048541713088932514
6.04,1.1348848437921883,-0.4854092978496191,0.5106727545661831,1.0863724173926985,0.4854092978496191,1.1348848437921883,0.025263456716563992,-0.04851242639948983,0.031057176623090838,0.07933659335724116,-0.12277146586536336,0.047359496843839555
6.05,1.1399396213064177,-0.4745191015700849,0.5002743176878125,1.0916498875730445,0.4745191015700849,1.1399396213064177,0.025755216117727575,-0.0482897337333732,0.029827136128848002,0.07980426484475875,-0.12323099279047156,0.04617237448360312
6.0600000000000005,1.144890142003769,-0.463576627137993,0.4898215532946985,1.0968279610055154,0.463576627137993,1.144890142003769,0.026244926156705484,-0.048062180998253545,0.028592556767281348,0.08026004084691322,-0.1236792139121825,0.04498045380152016
6.07,1.1497358673501057,-0.4525828713138917,0.47931541048104875,1.101906080624628,0.4525828713138917,1.1497358673501057,0.026732539167157066,-0.047829786725477774,0.027353551850604303,0.08070387392078919,-0.12411607897288679,0.04378384312100625
6.08,1.1544762683307623,-0.44153883638377217,0.4687568440308032,1.1068836984163795,0.44153883638377217,1.1544762683307623,0.02721800764703103,-0.047592569914382876,0.026110235187823665,0.08113571770933332,-0.12454153874581242,0.042582651286058315
6.09,1.159110825507,-0.43044553006826364,0.4581468143328381,1.1117602754761873,0.43044553006826364,1.159110825507,0.027701284264574466,-0.04735055003081268,0.024862721075688106,0.08155552694651033,-0.12495554502726569,0.041376987650889596
6.1000000000000005,1.1636390290716396,-0.4193039654312525,0.4474862872931693,1.1165352820659984,0.4193039654312525,1.1636390290716396,0.028182321861916826,-0.04710374700564124,0.02361112428727829,0.08196325746235111,-0.12535805067167605,0.040166962070260936
