t,E_rel,E_abs
7.66,4.1454120972276665e-07,5.414538061042479e-07
7.665,4.1474456062818064e-07,5.418146236851937e-07
7.67,4.149479570254871e-07,5.421756084135412e-07
7.675,4.151514128768725e-07,5.425367785394381e-07
7.68,4.15354912341523e-07,5.428981133712932e-07
7.685,4.155584678338265e-07,5.432596291410475e-07
7.69,4.157620753157245e-07,5.436213205800434e-07
7.695,4.159657289861216e-07,5.439831801103428e-07
7.7,4.161694404348692e-07,5.443452228959114e-07
7.705,4.163732023879004e-07,5.447074394332895e-07
7.71,4.16577011346916e-07,5.450698251527931e-07
7.715,4.167808782364073e-07,5.454323943563893e-07
7.72,4.1698479539881895e-07,5.457951370339495e-07
7.725,4.1718876012058863e-07,5.461580496407433e-07
7.73,4.1739277702221e-07,5.465211382325962e-07
7.735,4.1759684545654634e-07,5.4688440197117e-07
7.74,4.178009605718438e-07,5.47247834510272e-07
7.745,4.1800512584690274e-07,5.476114404128335e-07
7.75,4.182093467347627e-07,5.479752268318843e-07
7.755,4.1841361675466076e-07,5.483391852860677e-07
7.76,4.1861793981526504e-07,5.487033209060781e-07
7.765000000000001,4.1882231874853374e-07,5.490676374147408e-07
7.77,4.190267371100951e-07,5.494321132622457e-07
7.775,4.192312127721075e-07,5.497967718878004e-07
7.78,4.194357458584033e-07,5.501616134671942e-07
7.785,4.1964032657688776e-07,5.505266251676963e-07
7.79,4.1984495644347803e-07,5.508918089852338e-07
7.795,4.200496410263321e-07,5.512571722352186e-07
7.8,4.2025437845785584e-07,5.516227124781684e-07
7.805000000000001,4.204591623843e-07,5.519884213834364e-07
7.81,4.206640004864673e-07,5.523543090427209e-07
7.815,4.2086888754993336e-07,5.527203686197941e-07
7.82,4.210738219712315e-07,5.530865980167536e-07
7.825,4.212788135468682e-07,5.534530101109662e-07
7.83,4.2148384807547987e-07,5.538195862563058e-07
7.835,4.216889322597593e-07,5.541863352658822e-07
7.84,4.218940684546381e-07,5.545532602442223e-07
7.845,4.220992516225693e-07,5.549203545794665e-07
7.85,4.2230448511531563e-07,5.55287622686292e-07
7.855,4.2250977113982773e-07,5.556550674769898e-07
7.86,4.22715098782281e-07,5.560226746074381e-07
7.865,4.2292047714340206e-07,5.563904560545027e-07
7.87,4.2312590758077686e-07,5.567584136149575e-07
7.875,4.2333138279546326e-07,5.571265376944796e-07
7.88,4.235369066738327e-07,5.574948334151549e-07
7.885,4.2374248086946143e-07,5.57863302963253e-07
7.890000000000001,4.2394810462251743e-07,5.582319453488292e-07
7.895,4.2415377477739056e-07,5.586007564261566e-07
7.9,4.24359493897081e-07,5.589697395792968e-07
7.905,4.245652615382691e-07,5.593388942341435e-07
7.91,4.247710783142872e-07,5.597082212086066e-07
7.915,4.249769407198942e-07,5.600777158933989e-07
7.92,4.25182851221932e-07,5.604473815480983e-07
7.925,4.2538881144031584e-07,5.608172203181166e-07
7.930000000000001,4.255948176993546e-07,5.611872273677167e-07
7.935,4.2580087356381393e-07,5.615574074067781e-07
7.94,4.2600697556013296e-07,5.619277558646341e-07
7.945,4.262131266699456e-07,5.622982766837864e-07
7.95,4.264193242433252e-07,5.626689663786528e-07
7.955,4.266255715955291e-07,5.630398293338783e-07
7.96,4.268318660276629e-07,5.634108619987146e-07
7.965,4.2703820630320036e-07,5.637820627506743e-07
7.97,4.272445976402476e-07,5.6415343848924e-07
7.975,4.2745103516825254e-07,5.645249827949812e-07
7.98,4.276575197362884e-07,5.648966967991855e-07
7.985,4.2786405067793785e-07,5.65268579631873e-07
7.99,4.2807063037343835e-07,5.656406344483369e-07
7.995,4.2827725800225414e-07,5.660128601760448e-07
