t,x,z,v_x,v_z,u_x,u_z,w_x,w_z,H_x,H_z,H'_x,H'_z,F_x,F_z
8.46,-0.4920710921067869,1.24987872397122,-1.229817790722084,-0.43390533070008075,-1.24987872397122,-0.4920710921067869,0.020060933249135937,0.05816576140670615,-0.13906644186001682,-0.10781426451378928,0.060023890075759034,-0.12603951144496328,0.06002468799097376,-0.12604159303912224
8.47,-0.5043501260968448,1.2454792822903005,-1.2259692556352206,-0.4459774692600438,-1.2454792822903005,-0.5043501260968448,0.019510026655079837,0.05837265683680104,-0.1384598688023531,-0.1090719938960787,0.06128830130017615,-0.12550013089561052,0.06128911960606196,-0.12550220536885442
8.48,-0.51659008266168,1.2409592872456419,-1.2220023535837532,-0.45801581001295055,-1.2409592872456419,-0.51659008266168,0.018956933661888664,0.0585742726487295,-0.13784067583401333,-0.11032426713170143,0.06254781095873074,-0.12494830377502364,0.06254864960994666,-0.12495037092674723
8.49,-0.5287897795877644,1.2363190826143233,-1.2179173776837584,-0.47001919356470756,-1.2363190826143233,-0.5287897795877644,0.01840170493056492,0.05877058602305685,-0.1372089125831785,-0.11157095997157912,0.06380229680865845,-0.12438407401069362,0.0638031557952876,-0.12438613364093623
8.5,-0.5409480376494726,1.2315590237549467,-1.2137146323964063,-0.4819864630238514,-1.2315590237549467,-0.5409480376494726,0.017844391358540435,0.05896157462562124,-0.13656462989784018,-0.11281194861191525,0.06505163712690898,-0.12380748672977138,0.06505251634466652,-0.12380953863920476
8.51,-0.5530636807224301,1.2266794775820504,-1.2093944335070157,-0.4939164641124591,-1.2266794775820504,-0.5530636807224301,0.017285044075034728,0.059147216609970965,-0.13590787984064034,-0.1140471097061745,0.06629571043698501,-0.12321858825583565,0.06629660984235079,-0.12322063224555221
8.52,-0.5651355358966422,1.2216808225394273,-1.2049571081030388,-0.5058080452768824,-1.2216808225394273,-0.5651355358966422,0.016723714436388537,0.05932749061975984,-0.1352387156891005,-0.11527632037703192,0.06753439575587628,-0.12261742610479853,0.06753531528603186,-0.12261946197664834
8.53,-0.577162433589411,1.2165634485723182,-1.2004029945509453,-0.5176600577983138,-1.2165634485723182,-0.577162433589411,0.016160454021372894,0.059502375791097184,-0.13455719192552285,-0.11649945822827042,0.06876757257614408,-0.1220040489817098,0.06876851209853138,-0.12200607653817234
8.540000000000001,-0.5891432076579932,1.2113277570985217,-1.195732442472048,-0.5294713559031399,-1.2113277570985217,-0.5891432076579932,0.015595314626473789,0.059671851754853344,-0.13386336423757753,-0.11771640135666629,0.06999512067594438,-0.12137850677686934,0.0699960801394747,-0.12138052582103792
8.55,-0.6010766955120231,1.2059741609783885,-1.1909458127172352,-0.5412407968731022,-1.2059741609783885,-0.6010766955120231,0.01502834826115329,0.059835898638920915,-0.13315728951200387,-0.11892702836380797,0.07121692037879157,-0.12074085056177442,0.07121789971693132,-0.12074286089750229
8.56,-0.6129617382256903,1.2005030844837155,-1.1860434773406259,-0.5529672411552635,-1.2005030844837155,-0.6129617382256903,0.014459607143089581,0.05999449707042681,-0.13243902583000172,-0.12013121836790173,0.07243285245907938,-0.12009113258557313,0.07243385159902087,-0.12009313401716154
8.57,-0.6247971806496244,1.194914963265545,-1.1810258195721586,-0.564649552471719,-1.194914963265545,-0.6247971806496244,0.013889143693386341,0.06014762817790542,-0.1317086324628223,-0.12132885101551939,0.07364279821114117,-0.11942940627002052,0.0736438170254865,-0.119431398602834
