t,x,z,xdot,zdot
0.8150000000000001,-0.816610333285561,-0.2549086120148417,-1.0019758690620386,-0.3820222774147021
0.8200000000000001,-0.8216202126308711,-0.2568188677211676,-1.0019758690620386,-0.3820797377082439
0.8250000000000001,-0.8266300919761813,-0.258729406044086,-1.0019758690620386,-0.38213533273227474
0.8300000000000001,-0.8316399713214915,-0.26064021780932933,-1.0019758690620386,-0.3821891230369613
0.835,-0.8366498506668016,-0.26255129414044387,-1.0019758690620386,-0.3822411672068976
0.84,-0.8416597300121118,-0.2644626264491225,-1.0019758690620386,-0.3822915219249112
0.845,-0.846669609357422,-0.2663742064258506,-1.0019758690620386,-0.38234024203379824
0.85,-0.8516794887027321,-0.2682860260308561,-1.0019758690620386,-0.38238738059605415
0.855,-0.8566893680480423,-0.2701980774853532,-1.0019758690620386,-0.3824329889516657
0.86,-0.8616992473933525,-0.27211035326307004,-1.0019758690620386,-0.3824771167740269
0.865,-0.8667091267386626,-0.2740228460820518,-1.0019758690620386,-0.3825198121240396
0.87,-0.8717190060839728,-0.2759355488967296,-1.0019758690620386,-0.3825611215024583
0.875,-0.876728885429283,-0.2778484548902471,-1.0019758690620386,-0.38260108990053504
0.88,-0.8817387647745931,-0.27976155746703596,-1.0019758690620386,-0.3826397608490212
0.885,-0.8867486441199033,-0.2816748502456323,-1.0019758690620386,-0.3826771764655777
0.89,-0.8917585234652134,-0.28358832705172676,-1.0019758690620386,-0.3827133775006469
0.895,-0.8967684028105236,-0.28550198191143955,-1.0019758690620386,-0.3827484033818347
0.9,-0.9017782821558338,-0.28741580904481445,-1.0019758690620386,-0.3827822922568528
0.905,-0.9067881615011439,-0.2893298028595234,-1.0019758690620386,-0.38281508103506606
0.91,-0.9117980408464541,-0.2912439579447759,-1.0019758690620386,-0.3828468054276918
0.915,-0.9168079201917643,-0.29315826906542597,-1.0019758690620386,-0.38287749998669385
0.92,-0.9218177995370744,-0.29507273115627025,-1.0019758690620386,-0.38290719814241414
0.925,-0.9268276788823846,-0.29698733931653143,-1.0019758690620386,-0.38293593223998257
0.93,-0.9318375582276948,-0.2989020888045208,-1.0019758690620386,-0.3829637335745452
0.935,-0.9368474375730049,-0.3008169750324737,-1.0019758690620386,-0.38299063242534864
0.9400000000000001,-0.9418573169183151,-0.30273199356155295,-1.0019758690620386,-0.38301665808871793
0.9450000000000001,-0.9468671962636253,-0.3046471400970145,-1.0019758690620386,-0.38304183890996424
0.9500000000000001,-0.9518770756089354,-0.30656241048352967,-1.0019758690620386,-0.3830662023142564
0.9550000000000001,-0.9568869549542456,-0.30847780070065967,-1.0019758690620386,-0.38308977483649065
0.96,-0.9618968342995557,-0.31039330685847677,-1.0019758690620386,-0.3831125821501903
0.965,-0.9669067136448659,-0.31230892519332754,-1.0019758690620386,-0.3831346490954677
0.97,-0.9719165929901761,-0.31422465206373384,-1.0019758690620386,-0.38315599970607833
0.975,-0.9769264723354862,-0.31614048394642685,-1.0019758690620386,-0.38317665723559674
0.98,-0.9819363516807964,-0.3180564174325097,-1.0019758690620386,-0.3831966441827424
0.985,-0.9869462310261066,-0.3199724492237446,-1.0019758690620386,-0.383215982315884
0.99,-0.9919561103714167,-0.32188857612896105,-1.0019758690620386,-0.3832346926967479
0.995,-0.9969659897167269,-0.3238047950605797,-1.0019758690620386,-0.3832527957033572
1.0,-1.001975869062037,-0.32572110303124996,-1.0019758690620386,-0.3832703110522257
1.0050000000000001,-1.0069857484073472,-0.3276374971505963,-1.0019758690620386,-0.38328725781983225
